,author_name,book_name,book_link,book_category
36,آرثر كونان دويل,قصة مغامرة مخططات بروس بارتينجتون ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/04/D8B1D988D8A7D98AD8A9D8B1D8B3D8A7D984D8A9D8A8D8B9D8AFD985D986D8AAD8B5D981D8A7D984D984D98AD984.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
37,آرثر كونان دويل,قصة مغامرة لاعب الرجبي المختفي ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D984D8A7D8B9D8A8D8A7D984D8B1D8ACD8A8D98AD8A7D984D985D8AED8AAD981D98APDF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
38,آرثر كونان دويل,قصة مغامرة قدم الشيطان ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D982D8AFD985D8A7D984D8B4D98AD8B7D8A7D986.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
39,آرثر كونان دويل,قصة علامة الأربعة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8B9D984D8A7D985D8A9D8A7D984D8A3D8B1D8A8D8B9D8A9PDF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
40,آرثر كونان دويل,قصة مغامرة الرجل الزاحف ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8B1D8ACD984D8A7D984D8B2D8A7D8ADD981.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
41,آرثر كونان دويل,قصة مغامرة البقعة الثانية ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8A8D982D8B9D8A9D8A7D984D8ABD8A7D986D98AD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
42,آرثر كونان دويل,قصة مغامرة لُبْدة الأَسَد ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D984D98FD8A8D992D8AFD8A9D8A7D984D8A3D98ED8B3D98ED8AF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
43,آرثر كونان دويل,قصة مغامرة الدائرة الحمراء ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8AFD8A7D8A6D8B1D8A9D8A7D984D8ADD985D8B1D8A7D8A1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
44,آرثر كونان دويل,قصة مغامرة بنَّاء نوروود ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A8D986D98ED991D8A7D8A1D986D988D8B1D988D988D8AF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
45,آرثر كونان دويل,قصة اختفاء السيدة فرانسيس كارفاكس ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8A7D8AED8AAD981D8A7D8A1D8A7D984D8B3D98AD8AFD8A9D981D8B1D8A7D986D8B3D98AD8B3D983D8A7D8B1D981D8A7D983D8B3.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
